id,pressure,temperature,humidity
1583315703, 1017.81, 25.32, 35.35 
1583316004, 1017.77, 25.14, 37.18 
1583316303, 1017.88, 25.34, 37.11 
1583316603, 1018.00, 25.10, 36.82 
1583316908, 1018.08, 25.14, 37.12 
1583317203, 1018.02, 25.27, 36.64 
1583317503, 1018.00, 25.20, 36.83 
1583317803, 1017.95, 25.40, 36.58 
1583318102, 1018.08, 25.20, 36.82 
1583318403, 1018.03, 25.34, 36.62 
1583318703, 1018.19, 25.18, 37.27 
1583319003, 1018.19, 25.14, 35.97 
1583319303, 1018.18, 25.07, 36.59 
1583319603, 1018.27, 25.01, 36.86 
1583319903, 1018.51, 24.96, 37.14 
1583320203, 1018.57, 25.40, 36.80 
1583320503, 1018.30, 25.18, 36.79 
1583320803, 1018.43, 24.90, 37.05 
1583321103, 1018.56, 25.07, 36.62 
1583321403, 1018.70, 24.99, 36.67 
1583321703, 1018.57, 24.98, 37.32 
1583322003, 1018.59, 24.96, 36.45 
1583322303, 1018.75, 24.98, 38.11 
1583322603, 1018.72, 25.12, 36.71 
1583322903, 1018.70, 24.98, 36.65 
1583323205, 1018.87, 24.90, 36.60 
1583323502, 1018.99, 24.87, 36.59 
1583323803, 1019.02, 24.81, 35.95 
1583324103, 1019.07, 25.14, 36.39 
1583324403, 1019.11, 24.87, 36.19 
1583324703, 1019.08, 24.83, 36.79 
1583325003, 1019.42, 25.05, 36.00 
1583325303, 1019.47, 24.92, 36.70 
1583325603, 1019.43, 24.96, 36.34 
1583325903, 1019.40, 24.83, 36.88 
1583326203, 1019.49, 24.90, 37.18 
1583326503, 1019.41, 24.81, 37.00 
1583326803, 1019.62, 24.79, 36.10 
1583327103, 1019.67, 24.75, 36.99 
1583327403, 1019.73, 24.88, 36.98 
1583327703, 1019.86, 24.68, 36.91 
1583328003, 1020.07, 24.66, 36.76 
1583328303, 1020.21, 24.79, 39.13 
1583328603, 1020.34, 24.98, 36.55 
1583328903, 1020.39, 25.21, 35.12 
1583329203, 1020.50, 24.98, 36.39 
1583329503, 1020.50, 25.10, 37.85 
1583329803, 1020.52, 25.20, 36.09 
1583330102, 1020.42, 25.23, 35.65 
1583330405, 1020.49, 25.07, 36.30 
1583330702, 1020.76, 25.14, 35.97 
1583331003, 1020.90, 25.03, 36.17 
1583331303, 1021.04, 25.07, 35.21 
1583331602, 1021.08, 24.77, 36.93 
1583331903, 1021.21, 24.99, 36.41 
1583332203, 1021.23, 25.05, 36.51 
1583332503, 1021.32, 25.01, 36.38 
1583332803, 1021.28, 25.16, 35.88 
1583333103, 1021.30, 25.10, 36.02 
1583333403, 1021.43, 25.05, 36.60 
1583333703, 1021.37, 25.21, 35.86 
1583334003, 1021.29, 25.69, 34.87 
1583334303, 1021.43, 25.14, 35.78 
1583334603, 1021.66, 25.09, 36.02 
1583334903, 1021.68, 25.10, 35.60 
1583335203, 1021.55, 25.20, 36.23 
1583335503, 1021.61, 25.42, 37.34 
1583335803, 1021.62, 25.42, 35.01 
1583336108, 1021.60, 25.73, 34.39 
1583336403, 1021.68, 25.69, 34.53 
1583336703, 1021.70, 25.64, 34.45 
1583337003, 1021.74, 25.64, 34.31 
1583337303, 1021.81, 25.67, 34.05 
1583337604, 1021.95, 25.62, 34.11 
1583337908, 1022.00, 25.75, 34.07 
1583338203, 1021.96, 25.77, 33.71 
1583338503, 1021.80, 25.71, 33.49 
1583338803, 1021.71, 25.88, 32.52 
1583339103, 1021.75, 26.43, 30.41 
1583339403, 1021.52, 26.76, 28.21 
1583339703, 1020.68, 27.26, 25.63 
1583340003, 1020.81, 27.31, 25.84 
1583340303, 1018.22, 28.05, 18.17 
1583340603, 1019.03, 28.63, 18.01 
1583340903, 1020.14, 28.63, 20.67 
1583341203, 1020.47, 27.61, 22.95 
1583341503, 1018.81, 28.05, 18.19 
1583341803, 1018.25, 29.30, 15.59 
1583342103, 1017.43, 29.09, 13.26 
1583342403, 1016.01, 30.44, 7.63 
1583342703, 1015.63, 30.20, 4.64 
1583343003, 1014.93, 31.47, 3.81 
1583343303, 1014.35, 31.47, 2.44 
1583343603, 1018.97, 30.22, 15.15 
1583343903, 1017.80, 30.11, 12.72 
1583344203, 1015.17, 30.18, 3.44 
1583344503, 1015.87, 31.54, 4.35 
1583344805, 1013.41, 30.91, -3.75 
1583345103, 1019.16, 29.98, 15.26 
1583345408, 1019.13, 31.17, 12.70 
1583345704, 1003.80, 35.05, -35.11 
1583346003, 1008.49, 37.06, -23.86 
1583346303, 1012.91, 35.22, -8.81 
1583346603, 1003.00, 36.03, -44.16 
1583346903, 1020.18, 32.20, 14.22 
1583347203, 1005.00, 33.65, -39.58 
1583347503, 1012.87, 34.28, -6.51 
1583347803, 1016.08, 33.18, 2.39 
1583348104, 1019.27, 35.73, 9.56 
1583348408, 1019.70, 31.01, 15.00 
1583348703, 1003.33, 36.78, -45.58 
1583349008, 1002.50, 39.01, -44.71 
1583349303, 1021.00, 33.84, 13.89 
1583349603, 1001.91, 38.71, -46.43 
1583349903, 1019.56, 35.86, 8.63 
1583350203, 1013.28, 33.95, -8.57 
1583350503, 1011.75, 36.47, -15.38 
1583350803, 1014.93, 32.13, -1.86 
1583351103, 1003.85, 36.84, -44.09 
1583351403, 1003.32, 37.18, -48.24 
1583351707, 1008.66, 41.03, -30.66 
1583352004, 1003.80, 40.72, -49.94 
1583352303, 1003.73, 42.63, -47.34 
1583352603, 1002.24, 40.55, -49.21 
1583352903, 1002.35, 41.63, -50.08 
1583353203, 1001.72, 44.65, -50.48 
1583353503, 1000.40, 43.33, -51.30 
1583353803, 1005.55, 40.51, -40.20 
1583354103, 1004.66, 40.61, -43.11 
1583354403, 1002.62, 40.99, -47.54 
1583354703, 1002.57, 40.53, -48.36 
1583355003, 1003.41, 39.89, -48.83 
1583355302, 1003.70, 39.08, -45.36 
1583355603, 1003.43, 40.18, -45.23 
1583355904, 1005.03, 37.96, -44.81 
1583356203, 1004.72, 37.50, -44.30 
1583356503, 1016.95, 37.33, -37.95 
1583356803, 1021.58, 32.96, 21.94 
1583357103, 1021.52, 30.82, 24.55 
1583357404, 1021.46, 28.56, 26.43 
1583357704, 1021.79, 28.06, 28.80 
1583358003, 1021.73, 27.31, 28.99 
1583360070, 0.00, 30.53, 27.02 
1583360102, 1024.25, 31.30, 26.22 
1583360163, 1024.28, 32.61, 25.19 
1583360222, 1024.34, 33.67, 24.91 
1583360413, 0.00, 35.00, 24.98 
1583360417, 1024.23, 35.00, 22.74 
1583360462, 1024.22, 35.40, 22.51 
1583360522, 1024.17, 35.66, 23.62 
1583360582, 1024.15, 35.79, 22.14 
1583360642, 1024.14, 35.71, 21.95 
1583360702, 1024.14, 35.86, 22.06 
1583360762, 1024.13, 35.99, 21.64 
1583360827, 1024.15, 36.34, 21.42 
1583360882, 1024.08, 36.45, 21.64 
1583360942, 1024.08, 36.58, 21.34 
1583361003, 1024.09, 36.61, 21.60 
1583361062, 1024.09, 36.73, 21.24 
1583361122, 1024.06, 37.18, 21.30 
1583361182, 1024.07, 37.06, 20.69 
1583361243, 1024.02, 37.52, 21.33 
1583361302, 1024.01, 37.59, 21.22 
1583361368, 1023.99, 37.81, 21.54 
1583361423, 1023.95, 37.72, 20.93 
1583361482, 1023.96, 37.96, 20.79 
1583361542, 1024.03, 37.92, 20.92 
1583361603, 1023.99, 37.39, 24.73 
1583361663, 1023.94, 37.55, 22.46 
1583361727, 1023.90, 37.48, 21.61 
1583361783, 1023.87, 37.57, 21.63 
1583361842, 1023.88, 37.92, 22.16 
1583361903, 1023.86, 38.38, 21.16 
1583361962, 1023.83, 38.64, 21.01 
1583362022, 1023.81, 38.93, 20.57 
1583362082, 1023.85, 38.53, 21.60 
1583362142, 1023.83, 38.12, 20.84 
1583362203, 1023.86, 38.18, 21.36 
1583362263, 1023.71, 38.34, 21.01 
1583362323, 1023.67, 38.25, 20.99 
1583362382, 1023.67, 38.66, 20.74 
1583362442, 1023.65, 38.75, 20.92 
1583362503, 1023.66, 38.82, 20.71 
1583362568, 1023.63, 38.75, 20.57 
1583362623, 1023.64, 38.64, 20.75 
1583362682, 1023.60, 38.82, 20.30 
1583362742, 1023.63, 39.19, 20.57 
1583362803, 1023.66, 39.15, 20.42 
1583362862, 1023.55, 39.43, 20.27 
1583362922, 1023.54, 39.19, 20.27 
1583362983, 1023.51, 39.10, 20.26 
1583363042, 1023.53, 39.12, 20.25 
1583363102, 1023.63, 39.37, 19.97 
1583363162, 1023.59, 39.56, 19.95 
1583363222, 1023.58, 39.30, 20.00 
1583363282, 1023.62, 39.21, 19.87 
1583363342, 1023.70, 39.39, 20.07 
1583363402, 1023.71, 39.67, 19.92 
1583363462, 1023.62, 39.54, 19.82 
1583363523, 1023.65, 39.30, 20.10 
1583363584, 1023.56, 39.56, 19.72 
1583363642, 1023.59, 39.67, 19.75 
1583363702, 1023.60, 39.65, 19.66 
1583363762, 1023.55, 39.58, 19.43 
1583363822, 1023.62, 39.48, 19.50 
1583363883, 1023.59, 39.48, 19.48 
1583363942, 1023.57, 39.58, 18.56 
1583364003, 1023.58, 39.65, 19.51 
1583364063, 1023.57, 39.34, 19.80 
1583364123, 1023.53, 39.46, 19.55 
1583364183, 1023.56, 39.80, 19.49 
1583364242, 1023.51, 39.70, 19.58 
1583364303, 1023.53, 39.98, 19.87 
1583364362, 1023.52, 39.96, 19.55 
1583364422, 1023.53, 40.11, 19.52 
1583364482, 1023.54, 40.04, 19.15 
1583364542, 1023.54, 40.07, 19.57 
1583364603, 1023.50, 40.13, 19.17 
1583364662, 1023.50, 40.15, 19.20 
1583364722, 1023.52, 40.26, 19.41 
1583364782, 1023.65, 40.15, 19.13 
1583364842, 1023.62, 39.96, 18.87 
1583364902, 1023.63, 40.04, 19.22 
1583364962, 1023.66, 40.27, 18.78 
1583365022, 1023.63, 40.24, 19.18 
1583365082, 1023.58, 40.24, 18.71 
1583365142, 1023.62, 40.07, 18.77 
1583365203, 1023.62, 40.07, 18.93 
1583365267, 1023.59, 39.94, 19.26 
1583365322, 1023.56, 40.04, 19.29 
1583365382, 1023.58, 40.20, 19.13 
1583365442, 1023.54, 40.22, 19.02 
1583365502, 1023.45, 40.18, 19.20 
1583365563, 1023.47, 40.00, 19.74 
1583365622, 1023.47, 39.94, 18.71 
1583365682, 1023.50, 39.83, 19.07 
1583365742, 1023.51, 39.78, 19.54 
1583365802, 1023.50, 40.02, 19.28 
1583365862, 1023.51, 39.92, 19.25 
1583365922, 1023.54, 39.35, 18.40 
1583365982, 1023.55, 38.82, 19.86 
1583366042, 1023.56, 38.69, 19.86 
1583366102, 1023.55, 38.49, 19.77 
1583366162, 1023.54, 38.14, 19.77 
1583366222, 1023.53, 38.07, 19.59 
1583366287, 1023.54, 38.25, 20.11 
1583366342, 1023.55, 38.20, 19.73 
1583366405, 1023.52, 38.51, 19.69 
1583366462, 1023.60, 38.67, 19.78 
1583366522, 1023.57, 38.80, 19.60 
1583366582, 1023.61, 38.69, 19.88 
1583366642, 1023.47, 38.71, 19.77 
1583366702, 1023.44, 38.69, 19.69 
1583366762, 1023.44, 38.99, 19.87 
1583366822, 1023.43, 38.93, 19.48 
1583366882, 1023.44, 38.47, 23.95 
1583366942, 1023.51, 38.32, 20.52 
1583367002, 1023.48, 38.45, 20.36 
1583367062, 1023.46, 38.55, 20.11 
1583367123, 1023.47, 38.58, 19.70 
1583367182, 1023.31, 38.86, 19.52 
1583367243, 1023.31, 39.04, 19.75 
1583367303, 1023.32, 39.08, 19.91 
1583367362, 1023.28, 39.28, 19.81 
1583367422, 1023.24, 39.26, 19.64 
1583367482, 1023.34, 39.41, 19.43 
1583367542, 1023.32, 39.43, 19.59 
1583367603, 1023.33, 39.76, 19.31 
1583367663, 1023.31, 39.63, 19.47 
1583367723, 1023.31, 39.76, 18.97 
1583367787, 1023.31, 39.85, 19.22 
1583367842, 1023.25, 39.69, 19.10 
1583367902, 1023.21, 40.00, 18.96 
1583367963, 1023.17, 40.07, 18.83 
1583368022, 1023.17, 40.13, 18.94 
1583368082, 1023.15, 40.18, 18.70 
1583368142, 1023.16, 40.07, 18.69 
1583368202, 1023.11, 40.29, 18.70 
1583368262, 1023.12, 40.33, 18.38 
1583368323, 1023.10, 40.26, 18.64 
1583368382, 1023.12, 40.31, 18.57 
1583368442, 1023.11, 40.31, 18.65 
1583368502, 1023.14, 40.42, 18.75 
1583368562, 1023.09, 40.44, 18.58 
1583368623, 1023.10, 40.40, 18.45 
1583368682, 1023.21, 40.48, 18.21 
1583368743, 1023.11, 40.42, 18.30 
1583368802, 1023.07, 40.49, 18.24 
1583368862, 1023.13, 40.68, 18.47 
1583368923, 1023.13, 40.83, 18.23 
1583368987, 1023.13, 41.30, 18.07 
1583369042, 1023.12, 41.54, 18.16 
1583369103, 1023.09, 41.56, 17.96 
1583369162, 1023.13, 41.73, 16.86 
1583369222, 1023.12, 42.00, 17.65 
1583369282, 1023.00, 41.98, 17.76 
1583369342, 1023.02, 41.95, 17.56 
1583369402, 1023.04, 41.87, 17.42 
1583369462, 1023.04, 41.93, 17.62 
1583369522, 1023.00, 41.56, 17.56 
1583369582, 1023.07, 41.52, 17.52 
1583369642, 1023.06, 41.54, 17.68 
1583369702, 1023.03, 41.65, 17.35 
1583369762, 1023.02, 41.89, 17.37 
1583369822, 1023.09, 41.82, 17.42 
1583369882, 1023.09, 41.86, 17.43 
1583369942, 1023.06, 41.86, 17.81 
1583370007, 1022.97, 41.78, 17.22 
1583370063, 1022.94, 41.84, 17.36 
1583370123, 1022.97, 41.67, 17.60 
1583370183, 1022.94, 41.75, 17.38 
1583370243, 1022.94, 41.86, 16.38 
1583370303, 1022.92, 41.95, 17.37 
1583370362, 1022.90, 42.19, 17.09 
1583370422, 1022.91, 42.15, 17.32 
1583370482, 1022.89, 42.17, 17.21 
1583370542, 1022.89, 42.02, 17.18 
1583370602, 1022.91, 41.84, 17.22 
1583370662, 1022.92, 41.56, 17.30 
1583370722, 1022.92, 41.52, 17.66 
1583370782, 1022.96, 41.56, 17.33 
1583370843, 1022.92, 41.36, 17.55 
